Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company)
Gen,https://www.crunchbase.com/organization/gen-499c,,"Cyber Security, Digital Media, Information Technology","Tempe, Arizona, United States","Gen is a cybersecurity company that offers security, identity protection, and privacy solutions.",581
Abnormal AI,https://www.crunchbase.com/organization/abnormal-security,,"Artificial Intelligence (AI), Cyber Security, Email, Information Technology, Network Security","Las Vegas, Nevada, United States",Abnormal AI is the leading AI-native human behavior security platform.,584
PayJoy,https://www.crunchbase.com/organization/payjoy,,"Credit, Emerging Markets, Financial Services, FinTech, Mobile","San Francisco, California, United States",PayJoy is a financial service company that provides affordable smartphone financing to people in emerging markets.,588
Rent the Runway,https://www.crunchbase.com/organization/rent-the-runway,,"Apparel, Consumer Goods, E-Commerce, Fashion, Retail","New York, New York, United States",Rent the Runway is an online e-commerce website that allows women to rent designer apparel and accessories.,590
Headway,https://www.crunchbase.com/organization/headway-6412,,"Health Care, Information Technology, Insurance, Mental Health, Therapeutics","New York, New York, United States",Headway builds a mental healthcare system that enables therapists to accept insurance and scale their practices.,602
Octane,https://www.crunchbase.com/organization/octane-lending,,"Credit, Financial Services, FinTech, Lending","New York, New York, United States","Octane is a fintech firm offering financing solutions for powersports, outdoor equipment, and recreational purchases.",605
Sixth Street,https://www.crunchbase.com/organization/sixthstreet,,"Finance, Financial Services, Funding Platform, Impact Investing, Venture Capital","San Francisco, California, United States",Sixth Street Partners is an investment firm that develops themes and offers solutions for businesses.,622
Cross River Bank,https://www.crunchbase.com/organization/cross-river-bank,,"Banking, Financial Services, FinTech","Fort Lee, New Jersey, United States",Cross River Bank is a financial institution that offers technology and banking services to consumers and businesses.,628
Workato,https://www.crunchbase.com/organization/workato,,"Cloud Computing, Data Integration, Marketing Automation, SaaS, Sales Automation","Mountain View, California, United States","Workato is an automation and orchestration platform designed to connect applications, data sources, and workflows across an organization.",644
Uber,https://www.crunchbase.com/organization/uber,,"Consumer, Logistics, Marketplace, Mobile Apps, Ride Sharing, Software, Transportation","San Francisco, California, United States","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",651
Waymo,https://www.crunchbase.com/organization/waymo,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Consumer, Sensor, Transportation","Mountain View, California, United States",Waymo is a mobility technology company that improves transportation by developing self-driving solutions for travelers and daily commuters.,652
Kin Insurance,https://www.crunchbase.com/organization/kin-insurance,,"Financial Services, Insurance, InsurTech, Property Insurance","Chicago, Illinois, United States",Kin Insurance is a direct-to-consumer digital insurance provider that enhances convenience and customization in coverage options.,658
Shield AI,https://www.crunchbase.com/organization/shield-ai,,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","San Diego, California, United States",Shield AI is a deep-tech company that focuses on developing AI-powered systems to enhance the safety of service members and civilians.,666
Bloomreach,https://www.crunchbase.com/organization/bloomreach,,"Information Technology, Marketing Automation, Software, Web Development","Mountain View, California, United States",Bloomreach is a developer of a cloud-based software that connects both customer and product data to personalize all customer touch-points.,673
SeatGeek,https://www.crunchbase.com/organization/seatgeek,,"Events, Media and Entertainment, Search Engine, Sports, Ticketing","New York, New York, United States",SeatGeek operates a mobile-focused ticket platform and search engine that lets fans buy and sell tickets for events.,692
Recharge,https://www.crunchbase.com/organization/recharge-payments,,"E-Commerce, Mobile Payments, Software, Subscription Service","Santa Monica, California, United States",Recharge offers subscription management software for e-commerce businesses.,696
Duolingo,https://www.crunchbase.com/organization/duolingo,,"Education, E-Learning, Language Learning, Mobile Apps","Pittsburgh, Pennsylvania, United States",Duolingo is a language-learning education platform that offers 98 total courses across nearly 40 distinct languages.,699
Sysdig,https://www.crunchbase.com/organization/sysdig,,"Cloud Computing, Cloud Security, Cyber Security, Open Source, SaaS, Security","San Francisco, California, United States",Sysdig is a cyber security company that offers a platform for detecting changes in risk with runtime insights to prevent cloud attacks.,715
Steward Partners Global Advisory,https://www.crunchbase.com/organization/steward-partners-global-advisory,,"Advice, Asset Management, Banking, Consulting, Delivery Service, Financial Services","Washington, District of Columbia, United States",Steward Partners Global Advisory is a Washington-based financial service provider.,735
Arcadia,https://www.crunchbase.com/organization/arcadia-power-2,,"Clean Energy, CleanTech, Database, Renewable Energy, Software","Washington, District of Columbia, United States",Arcadia is the global utility data and energy solutions platform.,739
SoFi,https://www.crunchbase.com/organization/social-finance,,"Credit, Credit Cards, Financial Services, FinTech, Lending, Wealth Management","San Francisco, California, United States",SoFi is a finance company that offers a range of lending and wealth management services.,744
Remitly,https://www.crunchbase.com/organization/remitly,,"Financial Services, Payments","Seattle, Washington, United States",Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,772
FedEx,https://www.crunchbase.com/organization/fedex,,"E-Commerce, Logistics, Shipping, Supply Chain Management","Memphis, Tennessee, United States","FedEx provides customers and businesses worldwide with a broad portfolio of transportation, e-commerce, and business services.",775
SentinelOne,https://www.crunchbase.com/organization/sentinel,,"Artificial Intelligence (AI), Cyber Security, Network Security, Security","Mountain View, California, United States",SentinelOne is an autonomous cybersecurity solution company.,779
Vast,https://www.crunchbase.com/organization/vast-6b79,,"Hardware, Manufacturing, Military, Space Travel","Long Beach, California, United States",Vast develops space habitation systems and orbital infrastructure designed to support human activities in space.,781
Morgan Stanley,https://www.crunchbase.com/organization/morgan-stanley,,"Asset Management, Finance, Financial Services, Lending","New York, New York, United States","Morgan Stanley is a financial services company that offers securities, asset management, and credit services.",797
Omada Health,https://www.crunchbase.com/organization/omada-health,,"Health Care, Medical, Therapeutics, Wellness","San Francisco, California, United States",Omada Health is a digital behavioral medicine company that helps members change their mindsets to improve health and build lasting change.,805
Fever,https://www.crunchbase.com/organization/fever,,"E-Commerce, Events, Marketplace, Software, Ticketing","New York, New York, United States","Fever is a live-entertainment discovery tech platform that enables users to discover and book various events, experiences, and attractions.",825
